R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R02953	S-alkyl-L-cysteine alkylthiol-lyase (deaminating); S-Alkyl-L-cysteine + H2O <=> Alkyl thiol + Ammonia + Pyruvate
R02954	dihydrobiochanin-A:NADP+ delta2-oxidoreductase; Dihydrobiochanin A + NADP+ <=> Biochanin A + NADPH + H+
R02955	acetyl-CoA:citramalate CoA-transferase; Acetyl-CoA + Citramalate <=> Acetate + (3S)-Citramalyl-CoA
R02957	D-glucuronolactone:NAD+ oxidoreductase; D-Glucuronolactone + NAD+ + 2 H2O <=> D-Glucarate + NADH + H+
R02959	D-Glutamine <=> D-Glutamyl-peptide
R02960	DNA-4,6-diamino-5-formamidopyrimidine C8-N9-lyase (cyclizing); DNA 4,6-diamino-5-formamidopyrimidine <=> DNA adenine + H2O
R02961	S-Adenosyl-L-methionine + DNA adenine <=> S-Adenosyl-L-homocysteine + DNA 6-methylaminopurine
R02962	Dopaquinone <=> 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole
R02963	lactoyl-CoA hydro-lyase; Lactoyl-CoA <=> Propenoyl-CoA + H2O
R02964	NADH:menaquinone oxidoreductase; Menaquinone + H+ + NADH <=> Menaquinol + NAD+
R02965	hydrogen:quinone oxidoreductase; Menaquinone + Hydrogen <=> Menaquinol
R02968	naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating); Naphthalene + Oxygen + NADH + H+ <=> cis-1,2-Dihydronaphthalene-1,2-diol + NAD+
R02969	hydroxymalonate:NAD+ oxidoreductase; Hydroxymalonate + NAD+ <=> Oxomalonate + NADH + H+
R02970	L-alanine:oxomalonate aminotransferase; Pyruvate + Aminomalonate <=> L-Alanine + Oxomalonate
R02971	ATP:pantothenate 4'-phosphotransferase; ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate
R02972	N-((R)-pantothenoyl)-L-cysteine carboxy-lyase; N-((R)-Pantothenoyl)-L-cysteine <=> Pantetheine + CO2
R02973	(R)-pantetheine amidohydrolase; Pantetheine + H2O <=> Pantothenate + Cysteamine
R02974	sepiapterin aminohydrolase; Sepiapterin + H2O <=> Xanthopterin-B2 + Ammonia
R02975	7,8-dihydrobiopterin:NADP+ oxidoreductase; 7,8-Dihydrobiopterin + NADP+ <=> Sepiapterin + NADPH + H+
R02976	ATP:sphinganine 1-phosphotransferase; ATP + Sphinganine <=> ADP + Sphinganine 1-phosphate
R02978	sphinganine:NADP+ 3-oxidoreductase; Sphinganine + NADP+ <=> 3-Dehydrosphinganine + NADPH + H+
R02979	Sphinganine + FAD <=> FADH2 + Sphingosine
R02980	ATP:tropomyosin O-phosphotransferase; ATP + Tropomyosin <=> ADP + O-Phosphotropomyosin
R02982	S-adenosyl-L-methionine:xanthotoxol O-methyltransferase; S-Adenosyl-L-methionine + Xanthotoxol <=> S-Adenosyl-L-homocysteine + Xanthotoxin
R02983	dTDP-D-glucose dehydrogenase, plant; dTDP-glucose + 2 NADP+ + H2O <=> dTDP-D-glucuronate + 2 NADPH + 2 H+
R02984	dTDPglucose 4-epimerase; dTDP-glucose <=> dTDP-galactose
R02985	amygdalin beta-glucosidase; Prunasin + D-Glucose <=> Amygdalin + H2O
R02986	2-furoate:CoA ligase (AMP-forming); ATP + 2-Furoate + CoA <=> AMP + Diphosphate + 2-Furoyl-CoA
R02987	2-furoyl-CoA:(acceptor) 5-oxidoreductase (hydroxylating); 2-Furoyl-CoA + Acceptor + H2O <=> S-(5-Hydroxy-2-furoyl)-CoA + Reduced acceptor
R02988	3-oxoadipate:NAD+ oxidoreductase; 3-Oxoadipate + NAD+ <=> 2-Maleylacetate + NADH + H+
R02989	3-oxoadipate:NADP+ oxidoreductase; 3-Oxoadipate + NADP+ <=> 2-Maleylacetate + NADPH + H+
R02990	succinyl-CoA:3-oxoadipate CoA-transferase; Succinyl-CoA + 3-Oxoadipate <=> Succinate + 3-Oxoadipyl-CoA
R02991	4-carboxymethylbut-3-en-4-olide enol-lactonohydrolase; 2-Oxo-2,3-dihydrofuran-5-acetate + H2O <=> 3-Oxoadipate
R02992	4-pyridoxolactone lactonohydrolase; 4-Pyridoxolactone + H2O <=> 4-Pyridoxate
R02993	4-Pyridoxate + Acceptor <=> 2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate + Reduced acceptor
R02994	6-endo-hydroxycineole:NAD+ 6-oxidoreductase; 6-endo-Hydroxycineole + NAD+ <=> 6-Oxocineole + NADH + H+
R02995	6-oxocineole,NADPH:oxygen oxidoreductase; 6-Oxocineole + Oxygen + NADPH + H+ <=> 1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one + NADP+ + H2O
R02996	arylsulfate:phenol sulfotransferase; Aryl sulfate + Phenol <=> Phenol + Aryl sulfate
R02997	chlorogenate hydroloase; Chlorogenate + H2O <=> Caffeate + Quinate
R02998	chlorogenate:D-glucarate 2-O-caffeoyltransferase; Chlorogenate + D-Glucarate <=> Quinate + 2-O-Caffeoylglucarate
R02999	NADPH:cyanocob(III)alamin oxidoreductase (cyanide-eliminating); Cyanide ion + Cob(I)alamin + NADP+ <=> Cyanocobalamin + NADPH
R03001	D-methionine:pyruvate aminotransferase; D-Methionine + Pyruvate <=> 4-Methylthio-2-oxobutanoic acid + L-Alanine
R03003	S-adenosyl-L-methionine:DNA-cytosine N-methyltransferase; S-Adenosyl-L-methionine + DNA cytosine <=> S-Adenosyl-L-homocysteine + DNA N4-methylcytosine
R03004	deamino-NAD+ nucleotidohydrolase; Deamino-NAD+ + H2O <=> AMP + Nicotinate D-ribonucleotide
R03005	ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinate D-ribonucleotide <=> Diphosphate + Deamino-NAD+
R03006	formononetin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating); Formononetin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Calycosin + [Oxidized NADPH---hemoprotein reductase] + H2O
R03008	(gibberellin-1),2-oxoglutarate:oxygen oxidoreductase (2beta-hydroxylating); Gibberellin A1 + 2-Oxoglutarate + Oxygen <=> Gibberellin A8 + Succinate + CO2
R03009	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase (3beta-hydroxylating); Gibberellin A20 + 2-Oxoglutarate + Oxygen <=> Gibberellin A1 + Succinate + CO2
R03012	L-histidinol:NAD+ oxidoreductase; L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+
R03013	L-histidinol-phosphate phosphohydrolase; L-Histidinol phosphate + H2O <=> L-Histidinol + Orthophosphate
R03014	ATP:L-rhamnulose 1-phosphotransferase; ATP + L-Rhamnulose <=> ADP + L-Rhamnulose 1-phosphate
R03015	formylmethanofuran:ferredoxin oxidoreductase; Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+
R03016	monoterpenyl-diphosphate pyrophosphohydrolase; Monoterpenyl diphosphate + H2O <=> Monoterpenol + Diphosphate
R03017	acetyl-CoA:monoterpenol O-acetyltransferase; Acetyl-CoA + Monoterpenol <=> CoA + Monoterpenol acetate ester
R03018	ATP:pantothenate 4'-phosphotransferase; ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate
R03019	S-adenosyl-L-methionine:tRNA-uridine 3-(3-amino-3-carboxypropyl)transferase; S-Adenosyl-L-methionine + tRNA uridine <=> 5'-Methylthioadenosine + 3-[(3S)-3-Amino-3-carboxypropyl]-uridine in tRNA
R03020	tRNA-uridine uracilmutase; tRNA uridine <=> tRNA pseudouridine
R03021	(R)-2-hydroxystearate:NAD+ oxidoreductase; (R)-2-Hydroxystearate + NAD+ <=> 2-Oxooctadecanoic acid + NADH + H+
R03022	(S)-2-hydroxystearate:NAD+ oxidoreductase; (S)-2-Hydroxystearate + NAD+ <=> 2-Oxooctadecanoic acid + NADH + H+
R03023	4-nitrophenol,NADH:oxygen oxidoreductase (2-hydroxylating); 4-Nitrophenol + Oxygen + NADH + H+ <=> 4-Nitrocatechol + NAD+ + H2O
R03024	4-nitrophenyl phosphate phosphohydrolase; 4-Nitrophenyl phosphate + H2O <=> 4-Nitrophenol + Orthophosphate
R03025	hydrogen:coenzyme F420 oxidoreductase; Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420
R03026	(S)-3-hydroxybutanoyl-CoA hydro-lyase; (S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O
R03027	(3R)-3-hydroxybutanoyl-CoA hydro-lyase; (R)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O
R03028	glutaconyl-1-CoA carboxy-lyase; 4-carboxybut-2-enoyl-CoA carboxy-lyase (but-2-enoyl-CoA-forming); Glutaconyl-1-CoA <=> Crotonoyl-CoA + CO2
R03030	L-3-aminobutyryl-CoA ammonia-lyase; L-3-Aminobutyryl-CoA <=> Crotonoyl-CoA + Ammonia
R03031	vinylacetyl-CoA Delta3-Delta2-isomerase; Vinylacetyl-CoA <=> Crotonoyl-CoA
R03032	D-arabinonate hydro-lyase; D-Arabinonate <=> 2-Dehydro-3-deoxy-D-xylonate + H2O
R03033	D-galactonate hydro-lyase; D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O
R03034	D-galactono-1,4-lactone hydroxyacylhydrolase; D-Galactono-1,4-lactone + H2O <=> D-Galactonate
R03035	ATP:pantetheine-4'-phosphate adenylyltransferase; ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA
R03036	dephospho-CoA nucleotidohydrolase; Dephospho-CoA + H2O <=> Pantetheine 4'-phosphate + AMP
R03037	isochorismate pyruvate-hydrolase; Isochorismate + H2O <=> (2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate + Pyruvate
R03038	L-alanine:tRNA(Ala) ligase (AMP-forming); ATP + L-Alanine + tRNA(Ala) <=> AMP + Diphosphate + L-Alanyl-tRNA
R03039	L-alanyl-tRNA(Ala):phosphatidylglycerol alanyltransferase; L-Alanyl-tRNA + Phosphatidylglycerol <=> tRNA(Ala) + 3-O-L-Alanyl-1-O-phosphatidylglycerol
R03040	3-propylmalate glyoxylate-lyase (CoA-pentanoylating); 3-Propylmalate + CoA <=> Pentanoyl-CoA + H2O + Glyoxylate
R03042	polyphosphate phosphohydrolase; Polyphosphate(n) + H2O <=> Polyphosphate(n-1) + Orthophosphate
R03043	21-hydroxysteroid:NAD+ 21-oxidoreductase; Pregnan-21-ol + NAD+ <=> Pregnan-21-al + NADH + H+
R03044	Pregnan-21-al + NADPH + H+ <=> Pregnan-21-ol + NADP+
R03045	3-hydroxypropionyl-CoA hydro-lyase; 3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O
R03046	beta-alanyl-CoA ammonia-lyase (acryloyl-CoA-forming); beta-Alanyl-CoA <=> Propenoyl-CoA + Ammonia
R03048	11-cis-retinol:NAD+ oxidoreductase; 11-cis-Retinol + NAD+ <=> 11-cis-Retinal + NADH + H+
R03049	11-cis-retinyl-palmitate acylhydrolase; 11-cis-Retinyl palmitate + H2O <=> 11-cis-Retinol + Hexadecanoic acid
R03050	2-acetolactate pyruvate-lyase (carboxylating); 2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate
R03051	2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing); 2-Acetolactate + NADPH + H+ <=> 2,3-Dihydroxy-3-methylbutanoate + NADP+
R03052	2-acetolactate methylmutase; 2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid
R03053	L-2-aminohexanoate:2-oxoglutarate aminotransferase; L-Norleucine + 2-Oxoglutarate <=> 2-Oxohexanoic acid + L-Glutamate
R03054	cinnamyl-alcohol:NADP+ oxidoreductase; Cinnamaldehyde + NADPH + H+ <=> Cinnamyl alcohol + NADP+
R03055	(R)-5,6-dihydrothymine amidohydrolase; (R)-5,6-Dihydrothymine + H2O <=> (R)-3-Ureidoisobutyrate
R03056	acetyl-CoA:gentamicin-C1a N2'-acetyltransferase; Acetyl-CoA + Gentamicin C1a <=> CoA + N2'-Acetylgentamicin C1a
R03057	(7E,9E,11Z,14Z)-(5S,6S)-5,6-epoxyicosa-7,9,11,14-tetraenoate hydrolase; Leukotriene A4 + H2O <=> Leukotriene B4
R03058	arachidonate:oxygen 5-oxidoreductase; 5(S)-HPETE <=> Leukotriene A4 + H2O
R03059	(7E,9E,11Z,14Z)-(5S,6S)-5,6-epoxyicosa-7,9,11,14-tetraenoate:glutathione leukotriene-transferase (epoxide-ring-opening); Leukotriene A4 + Glutathione <=> Leukotriene C4
R03060	3'-ribonucleotide phosphohydrolase; 3'-Ribonucleotide + H2O <=> Ribonucleoside + Orthophosphate
R03062	cephalosporin-C acetylhdrolase; Cephalosporin C + H2O <=> Deacetylcephalosporin C + Acetate
R03063	cephalosporin-C:2-oxoglutarate aminotransferase; Cephalosporin C + 2-Oxoglutarate <=> (7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate + D-Glutamate
R03064	acetyl-CoA:deacetylcephalosporin-C O-acetyltransferase; Cephalosporin C + CoA <=> Deacetylcephalosporin C + Acetyl-CoA
R03065	acetyl-CoA:chloramphenicol O3-acetyltransferase; Acetyl-CoA + Chloramphenicol <=> CoA + Chloramphenicol 3-acetate
R03066	6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase; 6-(Hydroxymethyl)-7,8-dihydropterin + 4-Aminobenzoate <=> Dihydropteroate + H2O
R03067	(7,8-dihydropterin-6-yl)methyl diphosphate:4-aminobenzoate 2-amino-4-hydroxy-7,8-dihydropteridine-6-methenyltransferase; 6-Hydroxymethyl-7,8-dihydropterin diphosphate + 4-Aminobenzoate <=> Diphosphate + Dihydropteroate
R03069	(2R,3S)-2,3-dimethylmalate hydro-lyase (dimethylmaleate-forming); 2,3-Dimethylmaleate + H2O <=> (2R,3S)-2,3-Dimethylmalate
R03070	methylitaconate Delta2-Delta3-isomerase; Methylitaconate <=> 2,3-Dimethylmaleate
R03071	ferrocytochrome:nitrate oxidoreductase; 2 Ferrocytochrome + Nitrate <=> 2 Ferricytochrome + Nitrite + H2O
R03072	S-adenosyl-L-methionine:nocardicin-E 3-amino-3-carboxypropyltransferase; S-Adenosyl-L-methionine + Nocardicin E <=> 5'-Methylthioadenosine + Isonocardicin A
R03073	nocardicin-A epimerase; isonocardicin-A epimerase; Isonocardicin A <=> Nocardicin A
R03075	1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucose:choline 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)transferase; D-Glucose + Sinapine <=> 1-O-Sinapoyl-beta-D-glucose + Choline
R03076	protein-N(pi)-phosphohistidine:sugar phosphotransferase; Protein N(pi)-phospho-L-histidine + Sugar <=> Protein histidine + Sugar phosphate
R03077	UTP:beta-L-arabinose-1-phosphate uridylyltransferase; UTP + beta-L-Arabinose 1-phosphate <=> Diphosphate + UDP-L-arabinose
R03078	UDP-L-arabinofuranose + Arabinan <=> Arabinan + UDP
R03079	UDP-L-arabinose <=> Pentosan + UDP
R03080	(R)-propane-1,2-diol:NAD+ oxidoreductase; (R)-Propane-1,2-diol + NAD+ <=> (R)-Lactaldehyde + NADH + H+
R03081	2-dehydro-3-deoxy-D-fuconate glycolaldehyde; 2-Dehydro-3-deoxy-D-fuconate <=> Pyruvate + (R)-Lactaldehyde
R03082	(R)-lactaldehyde:NAD+ oxidoreductase (glutathione-formylating); (R)-Lactaldehyde + Glutathione + NAD+ <=> (R)-S-Lactoylglutathione + NADH + H+
R03083	2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing); 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate
R03084	3-dehydroquinate hydro-lyase; 3-Dehydroquinate <=> 3-Dehydroshikimate + H2O
R03086	estradiol-17beta,hydrogen-donor:oxygen oxidoreductase (6beta-hydroxylating); Estradiol-17beta + Reduced acceptor + Oxygen <=> 6beta-Hydroxy-17beta-estradiol + Acceptor + H2O
R03087	19-oxotestosterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (aromatizing, formate-forming); 19-Oxotestosterone + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> Estradiol-17beta + Formate + [Oxidized NADPH---hemoprotein reductase] + H2O
R03088	Estradiol-17beta + H+ + Oxygen + NADH <=> 2-Hydroxyestradiol + NAD+ + H2O
R03089	Estradiol-17beta + H+ + Oxygen + NADPH <=> Estriol + NADP+ + H2O
R03090	Estradiol-17beta + H+ + Oxygen + NADPH <=> 2-Hydroxyestradiol + NADP+ + H2O
R03091	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific); Estradiol-17beta + UDP-glucuronate <=> Estradiol-17beta 3-glucuronide + UDP
R03092	Indole-3-acetate + Oxygen <=> 3-Methyldioxyindole + CO2
R03093	3-indoleacetonitrile aminohydrolase; 3-Indoleacetonitrile + 2 H2O <=> Indole-3-acetate + Ammonia
R03094	UDPglucose:indole-3-acetate beta-D-glucosyltransferase; UDP-glucose + Indole-3-acetate <=> UDP + Indole-3-acetyl-beta-1-D-glucoside
R03095	indoleacetate:L-lysine ligase (ADP-forming); ATP + Indole-3-acetate + L-Lysine <=> ADP + Orthophosphate + N(6)-[(Indol-3-yl)acetyl]-L-lysine
R03096	indole-3-acetamide amidohydrolase; (Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia
R03097	Indole-3-acetate + Oxygen <=> 2-Formaminobenzoylacetate
R03098	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase; ATP:L-2-aminoadipate 6-O-adenylyltransferase; L-2-Aminoadipate + ATP <=> L-2-Aminoadipate adenylate + Diphosphate
R03102	L-2-aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase; L-2-Aminoadipate 6-semialdehyde + NAD+ + H2O <=> L-2-Aminoadipate + NADH + H+
R03103	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase; L-2-Aminoadipate 6-semialdehyde + NADP+ + H2O <=> L-2-Aminoadipate + NADPH + H+
R03104	3-mercaptolactate:NAD+ oxidoreductase; 3-Mercaptolactate + NAD+ <=> Mercaptopyruvate + NADH + H+
R03105	3-mercaptopyruvate:sulfide sulfurtransferase; Mercaptopyruvate + Thioredoxin <=> Hydrogen sulfide + Pyruvate + Thioredoxin disulfide
R03107	plasmenylcholine 2-acylhydrolase; Plasmenylcholine + H2O <=> 1-(1-Alkenyl)-sn-glycero-3-phosphocholine + Fatty acid
R03109	acyl-CoA:1-O-alk-1-enyl-glycero-3-phosphocholine 2-O-acyltransferase; Acyl-CoA + 1-(1-Alkenyl)-sn-glycero-3-phosphocholine <=> CoA + Plasmenylcholine
R03110	CDPcholine:1-alkenyl-2-acylglycerol cholinephosphotransferase; CDP-choline + 1-Alkenyl-2-acylglycerol <=> CMP + Plasmenylcholine
R03111	S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase; S-Adenosyl-L-methionine + Sterigmatocystin <=> S-Adenosyl-L-homocysteine + O-Methylsterigmatocystin
R03112	S-adenosyl-L-methionine:6-demethylsterigmatocystin 6-O-methyltransferase; S-Adenosyl-L-methionine + 6-Demethylsterigmatocystin <=> S-Adenosyl-L-homocysteine + Sterigmatocystin
R03114	(-)-trans-carveol:NADP+ oxidoreductase; (-)-trans-Carveol + NADP+ <=> (-)-Carvone + NADPH + H+
R03115	1,3-beta-glucan glucohydrolase; 1,3-beta-D-Glucan + H2O <=> 1,3-beta-D-Glucan + alpha-D-Glucose
R03116	1,3-beta-D-oligoglucan:orthophosphate alpha-D-glucosyltransferase; 1,3-beta-D-Glucan + Orthophosphate <=> 1,3-beta-D-Glucan + D-Glucose 1-phosphate
R03118	UDPglucose:1,3-beta-D-glucan 3-beta-D-glucosyltransferase; UDP-glucose + 1,3-beta-D-Glucan <=> UDP + 1,3-beta-D-Glucan
R03119	propane-1,3-diol:NAD+ 1-oxidoreductase; Propane-1,3-diol + NAD+ <=> 3-Hydroxypropanal + NADH + H+
R03120	aromatic-amino-acid:2-oxoglutarate aminotransferase; Aromatic amino acid + 2-Oxoglutarate <=> Aromatic oxo acid + L-Glutamate
R03121	aromatic-amino-acid:glyoxylate aminotransferase; Aromatic amino acid + Glyoxylate <=> Aromatic oxo acid + Glycine
R03122	cyclomaltodextrin dextrin-hydrolase (decyclizing); Cyclomaltodextrin + H2O <=> Maltodextrin
R03123	cis-3,4-leucopelargonidin:NADP+ 4-oxidoreductase; cis-3,4-Leucopelargonidin + NADP+ <=> Dihydrokaempferol + NADPH + H+
R03124	dihydrokaempferol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating); Dihydrokaempferol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Taxifolin + [Oxidized NADPH---hemoprotein reductase] + H2O
R03125	dihydrokaempferol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; Dihydrokaempferol + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> Dihydromyricetin + 2 [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R03126	dihydroflavonol,2-oxoglutarate:oxygen oxidoreductase; Dihydrokaempferol + 2-Oxoglutarate + Oxygen <=> Kaempferol + Succinate + CO2 + H2O
R03127	dihydroxyfumarate carboxy-lyase; Dihydroxyfumarate <=> 2-Hydroxy-3-oxopropanoate + CO2
R03128	Dihydroxyfumarate <=> 2-Hydroxy-3-oxosuccinate
R03129	GDP-D-mannuronate:alginate D-mannuronyltransferase; GDP-D-mannuronate + (Alginate)n <=> GDP + (Alginate)n
R03130	S-adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase; S-Adenosyl-L-methionine + N-Acetylserotonin <=> S-Adenosyl-L-homocysteine + Melatonin
R03131	O3-acetyl-L-serine:uracil 1-(2-amino-2-carboxyethyl)transferase; O-Acetyl-L-serine + Uracil <=> 3-(Uracil-1-yl)-L-alanine + Acetate
R03132	O-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase; O-Acetyl-L-serine + Thiosulfate <=> S-Sulfo-L-cysteine + Acetate
R03133	O-acetyl-L-serine acetate-lyase (adding N6-substituted adenine); O-Acetyl-L-serine + Zeatin <=> Lupinate + Acetate
R03134	O3-acetyl-L-serine:pyrazole 1-(2-amino-2-carboxyethyl)transferase; O-Acetyl-L-serine + Pyrazole <=> 3-(Pyrazol-1-yl)-L-alanine + Acetate
R03135	polyvinyl-alcohol:oxygen oxidoreductase; Polyvinyl alcohol + Oxygen <=> Oxidized polyvinyl alcohol + Hydrogen peroxide
R03136	polyvinyl-alcohol:(acceptor) oxidoreductase; Polyvinyl alcohol + Ferricytochrome c <=> Oxidized polyvinyl alcohol + Ferrocytochrome c + H+
R03137	coelenterazine h:oxygen 2-oxidoreductase (decarboxylating); Renilla luciferin + Oxygen <=> Oxidized Renilla luciferin + CO2
R03138	3'-phosphoadenylylsulfate:renilla luciferin sulfotransferase; 3'-Phosphoadenylyl sulfate + Renilla luciferin <=> Adenosine 3',5'-bisphosphate + Luciferyl sulfate
R03139	primary-amine oxidase; 1,3-Diaminopropane + Oxygen + H2O <=> 3-Aminopropanal + Ammonia + Hydrogen peroxide
R03140	D-ribulose 1,5-bisphosphate oxygenase; D-Ribulose 1,5-bisphosphate + Oxygen <=> 3-Phospho-D-glycerate + 2-Phosphoglycolate
R03142	ADP:alpha-D-aldose-1-phosphate adenylyltransferase; ADP + alpha-D-Aldose 1-phosphate <=> Orthophosphate + ADP-aldose
R03143	NDP:alpha-D-aldose-1-phosphate nucleotidyltransferase; NDP + alpha-D-Aldose 1-phosphate <=> Orthophosphate + NDP-aldose
R03145	pyruvate:ubiquinone oxidoreductase; Pyruvate + Ubiquinone + H2O <=> Acetate + Ubiquinol + CO2
R03146	formate:ferricytochrome-b1 oxidoreductase; Formate + 2 Ferricytochrome b1 <=> CO2 + 2 Ferrocytochrome b1 + 2 H+
R03147	L-ascorbate:ferricytochrome-b5 oxidoreductase; Ferricytochrome b5 + Ascorbate <=> Monodehydroascorbate + Ferrocytochrome b5 + H+
R03148	phosphoramidate:hexose 1-phosphotransferase; Phosphoramidate + D-Hexose <=> Ammonia + alpha-D-Hexose 1-phosphate
R03149	NTP:hexose-1-phosphate nucleotidyltransferase; Nucleoside triphosphate + alpha-D-Aldose 1-phosphate <=> Diphosphate + NDP-hexose
R03150	ATP:myosin-light-chain O-phosphotransferase; ATP + Myosin light chain <=> ADP + Myosin light chain phosphate
R03151	[myosin-light-chain]-phosphate phosphohydrolase; Myosin light chain phosphate + H2O <=> Myosin light chain + Orthophosphate
R03153	acetyl-CoA:citramalate CoA-transferase; Acetyl-CoA + (S)-2-Methylmalate <=> Acetate + (3S)-Citramalyl-CoA
R03154	succinyl-CoA:(S)-citramalate CoA-transferase; Succinyl-CoA + (S)-2-Methylmalate <=> Succinate + (3S)-Citramalyl-CoA
R03155	(R)-pantolactone:NADP+ oxidoreductase; (R)-Pantolactone + NADP+ <=> Dihydro-4,4-dimethyl-2,3-furandione + NADPH + H+
R03156	(R)-pantolactone:acceptor oxidoreductase (flavin-containing); (R)-Pantolactone + Acceptor <=> Dihydro-4,4-dimethyl-2,3-furandione + Reduced acceptor
R03157	3-Hydroxypropionyl-CoA + Orthophosphate + ADP <=> 3-Hydroxypropanoate + CoA + ATP
R03158	3-Hydroxypropanoate + CoA <=> 3-Hydroxypropionyl-CoA + H2O
R03161	ATP:L-fucose 1-phosphotransferase; ATP + L-Fucose <=> ADP + L-Fucose 1-phosphate
R03162	alpha-L-fucoside fucohydrolase; alpha-L-Fucoside + H2O <=> Alcohol + L-Fucose
R03163	L-fucose aldose-ketose-isomerase; L-Fucose <=> L-Fuculose
R03164	1,4,5,6-tetrahydro-6-oxonicotinate:ferredoxin oxidoreductase; 6-Hydroxynicotinate + Reduced ferredoxin <=> 6-Oxo-1,4,5,6-tetrahydronicotinate + Oxidized ferredoxin
R03165	hydroxymethylbilane hydro-lyase(cyclizing); Hydroxymethylbilane <=> Uroporphyrinogen III + H2O
R03166	Hydroxymethylbilane <=> Uroporphyrinogen I + H2O
R03167	glutathione:lipid-hydroperoxide oxidoreductase; Lipid hydroperoxide + 2 Glutathione <=> Lipid + Glutathione disulfide + 2 H2O
R03168	acetyl-CoA:N6-hydroxy-L-lysine 6-acetyltransferase; Acetyl-CoA + N6-Hydroxy-L-lysine <=> CoA + N6-Acetyl-N6-hydroxy-L-lysine
R03169	2-methyl-branched-chain-acyl-CoA:electron-transfer flavoprotein 2-oxidoreductase; 2-Methylbutanoyl-CoA + Electron-transferring flavoprotein <=> 2-Methylbut-2-enoyl-CoA + Reduced electron-transferring flavoprotein + H+
